"es","significant","model_type","simulation","chronological_age","Capability"
-0.676430248972006,"significant","apc","baseline",7.5,"IDS preference"
-0.74609547438098,"significant","apc","baseline",9,"IDS preference"
-0.692773785676144,"significant","apc","baseline",10.5,"IDS preference"
-0.584756977352406,"significant","apc","baseline",12,"IDS preference"
-0.655122896924952,"significant","apc","full_term",7.5,"IDS preference"
-0.690593183549763,"significant","apc","full_term",9,"IDS preference"
-0.584588027993732,"significant","apc","full_term",10.5,"IDS preference"
-0.652830614662429,"significant","apc","full_term",12,"IDS preference"
-0.768262559853026,"significant","apc","preterm",7.5,"IDS preference"
-0.67044692638882,"significant","apc","preterm",9,"IDS preference"
-0.631088651132197,"significant","apc","preterm",10.5,"IDS preference"
-0.610489117212996,"significant","apc","preterm",12,"IDS preference"
0.467361093816374,"significant","cpc","baseline",7.5,"IDS preference"
0.48411841979071,"significant","cpc","baseline",9,"IDS preference"
0.488783692655683,"significant","cpc","baseline",10.5,"IDS preference"
0.497461354325973,"significant","cpc","baseline",12,"IDS preference"
0.507168490391222,"significant","cpc","full_term",7.5,"IDS preference"
0.483840895992706,"significant","cpc","full_term",9,"IDS preference"
0.499793866508017,"significant","cpc","full_term",10.5,"IDS preference"
0.497364968622514,"significant","cpc","full_term",12,"IDS preference"
0.45840661136836,"significant","cpc","preterm",7.5,"IDS preference"
0.473781003586077,"significant","cpc","preterm",9,"IDS preference"
0.524607369470792,"significant","cpc","preterm",10.5,"IDS preference"
0.536560664813551,"significant","cpc","preterm",12,"IDS preference"
-0.1694789748103,"significant","apc","baseline",7.5,"Phonotactics preference"
-0.12448101553854,"significant","apc","baseline",9,"Phonotactics preference"
-0.164211968631194,"significant","apc","baseline",10.5,"Phonotactics preference"
-0.082841063168525,"significant","apc","baseline",12,"Phonotactics preference"
-0.116624909829161,"significant","apc","full_term",7.5,"Phonotactics preference"
-0.061017541774373,"significant","apc","full_term",9,"Phonotactics preference"
-0.126733572847154,"significant","apc","full_term",10.5,"Phonotactics preference"
