unique_row,study_ID,long_cite,short_cite,peer_reviewed,coder,expt_num,expt_condition,same_infant,response_mode,exposure_phase,method,dependent_measure,participant_design,native_lang,infant_type,group_name_1,group_name_2,n_1,n_2,mean_age_1,mean_age_2,x_1,x_2,SD_1,SD_2,t,F,r,d,d_var,corr,test_lang,stimuli_link,data_link,age_range_1,age_range_2,n_excluded_1,n_excluded_2,gender_1,gender_2,num_trials,special_cases_measures,x_dif,SD_dif,contrast_sampa,audio_condition,speaker,speech_type,object_stimulus,cue_type,N_AFC,mean_comprehension_vocab,mean_production_vocab,pointing_modality,motive,correlation_type,condition_type,stimulus_naturalness,contrast_pseudoIPA,sampa_comments,counterbalanced,backness,height,nasality,roundness,tenseness,length,F1_1,F2_1,F1_2,F2_2,duration_word_1,duration_word_2,duration_vowel_1,duration_vowel_2,peripherality,Linguistic,words_to_passage,edge_alignment,familiarization_voice,familiarization_register,familiarization_affect,test_voice,test_register,indexical,rule.type,repetitions,types,tokens,expt_condition2,word_round,word_spiky,multiple_age_groups_younger_older,replication,native,label_present,instruction_code,taxonomic_type,tokens_per_trial,word_types_per_cond,publication_type,main_or_baseline_study,Modality,Semantics,TrainingRule,Speech,Nonspeech,CorrectPronunciation,Mispronunciation,is_correct,n_feature,type_feature,mispron_location,scenarios,Hamlin_Lab,stimuli_type,minimal_pairs,cues_present,word_typicality,ME_trial_type,preceding,task_difficulty,median_production_vocab,sentence_structure,agent_argument_type,patient_argument_type,stimuli_modality,stimuli_actor,transitive_event,intransitive_event,presentation_type,character_identification,practice_phase,test_mass_or_distributed,n_train_test_pair,n_test_trial_per_pair,n_repetitions_sentence,n_repetitions_video,learning_domain,live_video,task,rhythm_class,speech_manip,percentV,deltaC,deltaV,VarcoV,nPVI_V,rPVI_C,corr_imputed,dataset,short_name,domain,d_calc,d_var_calc,g_calc,g_var_calc,r_calc,r_var_calc,z_calc,z_var_calc,log_odds_calc,log_odds_var_calc,es_method,mean_age,n,same_infant_calc,all_mod,mean_age_months,year
1,albareda2011,"Albareda-Castellot, B., Pons, F., & Sebastián-Gallés, N. (2011). The acquisition of phonetic categories in bilingual infants: new data from an anticipatory eye movement paradigm. Developmental Science, 14(2), 395-401.",Albareda-Castellot et al. (2011),yes,Sho Tsuji,1,NA,144,eye-tracking,conditioning,anticipatory eye movements,target_selection,within_one,Peninsular Spanish,typical,NA,NA,18,NA,240,NA,58,50,13,NA,NA,NA,NA,NA,NA,NA,native,NA,NA,22,NA,9,NA,NA,NA,NA,NA,NA,NA,deDi -duDi_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,deði -duði_,not_looked_up,1,1,0,0,1,0,0,675,2526,442,2716,761.9,792.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,Vowel discrimination (native),inphondb-native,early_language,0.6153846153846154,0.06607495069033531,0.5865384615384616,0.06002560828094182,0.2940858488375231,0.012592784895925874,0.3030330927250217,0.06666666666666667,1.1161842241441342,0.21737787471169856,group_means_one,240,18,albareda2011 144,,7.885172180126902,2011
2,albareda2011,"Albareda-Castellot, B., Pons, F., & Sebastián-Gallés, N. (2011). The acquisition of phonetic categories in bilingual infants: new data from an anticipatory eye movement paradigm. Developmental Science, 14(2), 395-401.",Albareda-Castellot et al. (2011),yes,Sho Tsuji,2,NA,146,eye-tracking,conditioning,anticipatory eye movements,target_selection,within_one,Catalan,typical,NA,NA,18,NA,240,NA,59,50,12,NA,NA,NA,NA,NA,NA,NA,native,NA,NA,22,NA,10,NA,NA,NA,NA,NA,NA,NA,dEDi -deDi_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,dεði -deði_,not_looked_up,1,0,0,0,0,1,0,675,2528,442,2718,761.9,792.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,Vowel discrimination (native),inphondb-native,early_language,0.75,0.07118055555555555,0.71484375,0.06466378106011285,0.3511234415883917,0.011991478235884007,0.36672460423013675,0.06666666666666667,1.3603495231756635,0.2341746414610322,group_means_one,240,18,albareda2011 146,,7.885172180126902,2011
3,albareda2011,"Albareda-Castellot, B., Pons, F., & Sebastián-Gallés, N. (2011). The acquisition of phonetic categories in bilingual infants: new data from an anticipatory eye movement paradigm. Developmental Science, 14(2), 395-401.",Albareda-Castellot et al. (2011),yes,Sho Tsuji,2,NA,147,eye-tracking,conditioning,anticipatory eye movements,target_selection,within_one,"Catalan, Peninsular Spanish",bilingual,NA,NA,18,NA,236,NA,61,50,15,NA,NA,NA,NA,NA,NA,NA,native,NA,NA,30,NA,9,NA,NA,NA,NA,NA,NA,NA,dEDi -deDi_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,dεði -deði_,not_looked_up,1,0,0,0,0,1,0,675,2529,442,2719,761.9,792.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.707,Vowel discrimination (native),inphondb-native,early_language,0.7333333333333333,0.07049382716049382,0.6989583333333332,0.06403992452739198,0.34425464915842313,0.01207094858510542,0.3589112226737705,0.06666666666666667,1.3301195337717595,0.23191539559761412,group_means_one,236,18,albareda2011 147,,7.7537526437914535,2011
4,benderssubmitted,"Benders, T. (submitted). Learning phonemes from multiple auditory cues: Dutch infants' language input and perception.",Benders (submitted),no,Sho Tsuji,1,NA,149,eye-tracking,test_only,stimulus alternation,looking_time,within_one,Dutch,typical,NA,NA,18,NA,350,NA,1.251317,1,0.5549284,NA,NA,NA,NA,NA,NA,NA,native,NA,NA,71.4,NA,14.5,NA,NA,NA,NA,NA,NA,NA,sɑk -sa:k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,sɑk -sa:k,not_looked_up,NA,1,0,0,0,0,1,1001,1354,1113,1734,150,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.338,Vowel discrimination (native),inphondb-native,early_language,0.45288184926199493,0.06125283248308234,0.4316530125778389,0.05564496818104233,0.22084961653204532,0.013180035033493203,0.22454911414426953,0.06666666666666667,0.8214368102646233,0.20151374168473954,group_means_one,350,18,benderssubmitted 149,,11.499209429351732,Inf
5,benderssubmitted,"Benders, T. (submitted). Learning phonemes from multiple auditory cues: Dutch infants' language input and perception.",Benders (submitted),no,Sho Tsuji,2,NA,150,eye-tracking,test_only,stimulus alternation,looking_time,within_one,Dutch,typical,NA,NA,24,NA,460.6,NA,1.172404,1,0.4784515,NA,NA,NA,NA,NA,NA,NA,native,NA,NA,39.2,NA,14.5,NA,NA,NA,NA,NA,NA,NA,sɑk -sa:k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,synthetic,sɑk -sa:k,not_looked_up,NA,1,0,0,0,0,1,1001,1354,1113,1734,150,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.567,Vowel discrimination (native),inphondb-native,early_language,0.3603374636718665,0.0443717309942807,0.34805323195578014,0.041397954084927434,0.1773138426868386,0.010079191596771404,0.17920796494955474,0.047619047619047616,0.653579862517802,0.14597714383503527,group_means_one,460.6000000000001,24,benderssubmitted 150,,15.132959609026882,Inf
6,bergmann2017,"Bergmann, C., & Cristia, A. (2018). Environmental influences on infants’ native vowel discrimination: The case of talker number in daily life. Infancy.",Bergmann & Cristia (2017),yes,Christina Bergmann,1,4mos,194,eye-tracking,habituation,central fixation,looking_time,within_one,Parisian French,typical,NA,NA,46,NA,138,NA,0.5462665,0.5,0.1245012,NA,2.326,NA,NA,0.69,NA,NA,native,NA,NA,30,NA,39,NA,0.5869565217,NA,NA,NA,NA,NA,ge-gi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,ge-gi,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.452,Vowel discrimination (native),inphondb-native,early_language,0.37161489206529724,0.023240191608746765,0.3652805473141842,0.022454664729409282,0.1826807320554499,0.005247560923831489,0.18475457413599616,0.023255813953488372,0.6740348549680035,0.07645716579461569,group_means_one,138,46,bergmann2017 194,,4.533974003572968,2017
7,bergmann2017,"Bergmann, C., & Cristia, A. (2018). Environmental influences on infants’ native vowel discrimination: The case of talker number in daily life. Infancy.",Bergmann & Cristia (2017),yes,Christina Bergmann,1,6mos,195,eye-tracking,habituation,central fixation,looking_time,within_one,Parisian French,typical,NA,NA,46,NA,180,NA,0.5799165,0.5,0.116344,NA,4.175,NA,NA,1.25,NA,NA,native,NA,NA,57,NA,25,NA,0.4565217391,NA,NA,NA,NA,NA,ge-gi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,ge-gi,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.557918903,Vowel discrimination (native),inphondb-native,early_language,0.6868983359691944,0.026867710043013568,0.6751898416060831,0.025959571728995125,0.3248253047201083,0.004807230836930938,0.3370322095120295,0.023255813953488372,1.245895765074467,0.08839122309590648,group_means_one,180,46,bergmann2017 195,,5.9138791350951765,2017
8,bergmann2017,"Bergmann, C., & Cristia, A. (2018). Environmental influences on infants’ native vowel discrimination: The case of talker number in daily life. Infancy.",Bergmann & Cristia (2017),yes,Christina Bergmann,1,12mos,196,eye-tracking,habituation,central fixation,looking_time,within_one,Parisian French,typical,NA,NA,46,NA,358,NA,0.4890216,0.5,0.1396073,NA,-0.533,NA,NA,-0.16,NA,NA,native,NA,NA,53,NA,11,NA,0.4130434783,NA,NA,NA,NA,NA,ge-gi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,ge-gi,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4136643196,Vowel discrimination (native),inphondb-native,early_language,-0.07863772166641715,0.02180634664422701,-0.07729730595619413,0.02106928424312597,-0.03928850308284385,0.005426380622522532,-0.03930873689305428,0.023255813953488372,-0.1426330495633748,0.07174000493718101,group_means_one,358,46,bergmann2017 196,,11.762048502022628,2017
9,bohn2001,"Bohn, O. S., & Polka, L. (2001). Target spectral, dynamic spectral, and duration cues in infant perception of German vowels. The Journal of the Acoustical Society of America, 110(1), 504–515.",Bohn & Polka (2001),yes,Sho Tsuji,1,FULL,100,behavior,conditioning,conditioned head-turn,pc_head_turns,within_one,German,typical,NA,NA,20,NA,249.444,NA,70.5,50,6.9,NA,NA,NA,NA,NA,NA,NA,native,NA,NA,182.52,NA,33,NA,NA,NA,NA,NA,NA,NA,e-i_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,synthetic,e-i_,not_looked_up,1,0,1,0,0,0,0,299,2206,255,2279,202.4,148.9,141,88.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6309368123,Vowel discrimination (native),inphondb-native,early_language,2.971014492753623,0.27067317790380174,2.8472222222222223,0.24858699845679016,0.8295516983524301,0.002052094344347515,1.1866971038228273,0.058823529411764705,5.388824198087169,0.8904790626320681,group_means_one,249.44400000000002,20,bohn2001 100,,8.195453705414897,2001
10,bohn2001,"Bohn, O. S., & Polka, L. (2001). Target spectral, dynamic spectral, and duration cues in infant perception of German vowels. The Journal of the Acoustical Society of America, 110(1), 504–515.",Bohn & Polka (2001),yes,Sho Tsuji,1,FULL,101,behavior,conditioning,conditioned head-turn,pc_head_turns,within_one,German,typical,NA,NA,10,NA,249.444,NA,71.4,50,6.9,NA,NA,NA,NA,NA,NA,NA,native,NA,NA,182.52,NA,33,NA,NA,NA,NA,NA,NA,NA,E-I_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,synthetic,ε-I_,AEnglish,1,0,1,0,0,0,0,494,1697,345,2088,132,120.7,68.9,62.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.364,Vowel discrimination (native),inphondb-native,early_language,3.1014492753623193,0.5809493803822727,2.810688405797102,0.47712737197411265,0.8404120489922201,0.003679796494865108,1.2225747889874359,0.14285714285714285,5.625406723856851,1.9112468538103382,group_means_one,249.44400000000002,10,bohn2001 101,,8.195453705414897,2001
