type,d,g,t,se_d,se_g,ci_lb_d,ci_ub_d,ci_lb_g,ci_ub_g,p_value,run,model_type,simulation,current_seen_hours,overall_seen_hours,batch_num,language,chronological_age,significant
ids_preference,-0.3840712248122269,-0.3828596436613997,-2.975002914910479,0.0169739806369349,0.0169720448057177,-0.6394236237436741,-0.1287188258807797,-0.6381974810927926,-0.1275218062300067,0.0032912796261217,run1,apc,full_term,0.0,223.9,55976,english,0.0,significant
ids_preference,-0.3887768250813704,-0.3875503997656563,-3.011452337863083,0.0169815571244173,0.0169795735674135,-0.6441862070639327,-0.1333674430988082,-0.6429448645689596,-0.1321559349623531,0.0029347611715293,run3,apc,full_term,0.0,223.9,55976,english,0.0,significant
ids_preference,-0.3457806808265399,-0.344689890035289,-2.678405636562903,0.0169157589150684,0.0169141898339427,-0.6006947669281617,-0.0908665947249181,-0.5995921531333135,-0.0897876269372646,0.0079856819268976,run2,apc,full_term,0.0,223.9,55976,english,0.0,significant
ids_preference,-0.7213492215173508,-0.7190736719226589,-5.587547043472769,0.017750718123716,0.017743889470109,-0.9824787922480592,-0.4602196507866425,-0.9801530098993972,-0.4579943339459206,7.60934726453742e-08,run1,apc,full_term,652.5,876.4,219101,english,7.5,significant
ids_preference,-0.5632573397787485,-0.5614805027447461,-4.362972593184371,0.0173276225641971,0.0173234590728385,-0.8212560772580115,-0.3052586022994854,-0.8194482423175253,-0.3035127631719669,1.9823305766491235e-05,run3,apc,full_term,652.5,876.4,219101,english,7.5,significant
ids_preference,-0.6807621294787576,-0.6786146148747236,-5.2731607803998495,0.0176321605769426,0.0176260787406699,-0.9410181933393168,-0.4205060656181985,-0.938825789985624,-0.4184034397638231,3.219038999567201e-07,run2,apc,full_term,652.5,876.4,219101,english,7.5,significant
ids_preference,-0.7361437167185352,-0.7338214967919783,-5.702144710532234,0.0177956407743003,0.0177885291440708,-0.9976035056390118,-0.4746839277980585,-0.9952290372105086,-0.4724139563734479,3.945639660461993e-08,run1,apc,full_term,783.0,1006.9,251726,english,9.0,significant
ids_preference,-0.6712311203407682,-0.6691136720116174,-5.199333901071883,0.0176053150352373,0.0175994023043184,-0.9312889845425864,-0.4111732561389498,-0.929127862433734,-0.4090994815895007,4.628843007858841e-07,run3,apc,full_term,783.0,1006.9,251726,english,9.0,significant
ids_preference,-0.6644047135899869,-0.6623087996669901,-5.146456781751456,0.0175863200488345,0.0175805269710756,-0.9243222471946776,-0.4044871799852962,-0.9221835202642226,-0.4024340790697575,6.26232184277202e-07,run2,apc,full_term,783.0,1006.9,251726,english,9.0,significant
ids_preference,-0.5283375890749643,-0.5266709089832452,-4.09248536732543,0.0172482096000615,0.0172445463466025,-0.7857444400120315,-0.2709307381378971,-0.7840504238480166,-0.2692913941184737,6.170940318943909e-05,run1,apc,full_term,913.5,1137.4,284351,english,10.5,significant
ids_preference,-0.7052732013312725,-0.703048364734013,-5.463022726564817,0.0177029381010751,0.0176964104232399,-0.966051090962616,-0.444495311699929,-0.9637781710757094,-0.4423185583923166,1.311691458224482e-07,run3,apc,full_term,913.5,1137.4,284351,english,10.5,significant
ids_preference,-0.5201532935749605,-0.5185124314501184,-4.02909008698152,0.0172303321850351,0.0172267815449339,-0.7774267114705784,-0.2628798756793427,-0.7757593399212552,-0.2612655229789816,7.79303661199605e-05,run2,apc,full_term,913.5,1137.4,284351,english,10.5,significant
ids_preference,-0.6353239484476546,-0.6333197719541289,-4.921198143569012,0.0175075760822314,0.017502279028225,-0.894658929832854,-0.3759889670624552,-0.8926155184584343,-0.3740240254498235,1.7549668668028392e-06,run1,apc,full_term,1044.0,1267.9,316976,english,12.0,significant
ids_preference,-0.5406351394563957,-0.5389296658303503,-4.18774178297829,0.0172755965708646,0.0172717608014833,-0.7982462666033054,-0.2830240123094861,-0.796512192178271,-0.2813471394824295,4.0753911886842194e-05,run3,apc,full_term,1044.0,1267.9,316976,english,12.0,significant
ids_preference,-0.7825327560832351,-0.7800641984930672,-6.06147266434432,0.017942411488215,0.0179343753203554,-1.0450685343610298,-0.5199969778054405,-1.0425411770416984,-0.517587219944436,6.388246334078741e-09,run2,apc,full_term,1044.0,1267.9,316976,english,12.0,significant
ids_preference,-0.4850675160637763,-0.4835373346250893,-3.757316823002409,0.0171568551982089,0.0171537674041173,-0.7417917898216964,-0.2283432423058561,-0.7402385054496143,-0.2268361638005642,0.0002245364288947,run1,apc,full_term,1566.0,1789.9,447477,english,18.0,significant
ids_preference,-0.6354544850738559,-0.6334498967928659,-4.922209275927708,0.0175079216720843,0.0175026224411393,-0.894792026010856,-0.3761169441368558,-0.892748187110781,-0.3741516064749509,1.6876231044851143e-06,run3,apc,full_term,1566.0,1789.9,447477,english,18.0,significant
ids_preference,-0.7430773761661795,-0.7407332834968856,-5.755852605670236,0.0178170083061875,0.0178097620776668,-1.0046940876281667,-0.4814606647041924,-1.0022967894141237,-0.4791697775796477,3.0266278038000264e-08,run2,apc,full_term,1566.0,1789.9,447477,english,18.0,significant
