type,d,g,t,se_d,se_g,ci_lb_d,ci_ub_d,ci_lb_g,ci_ub_g,p_value,run,model_type,simulation,current_seen_hours,overall_seen_hours,batch_num,language
phonotactics_preference,-0.2932343520583073,-0.2928937778979608,-3.732263978710906,0.0062391870256381,0.0062390329977865,-0.4480490155550124,-0.1384196885616021,-0.4477065304151509,-0.1380810253807707,0.0002066417982303,run1,cpc,preterm,693.0,736.7,184176,english
phonotactics_preference,-0.0301238729133926,-0.0300888858368381,-0.3834143066279102,0.0061735396973142,0.0061735380717985,-0.1841219200605992,0.1238741742338139,-0.1840869127099169,0.1239091410362405,0.7015427816360205,run1,cpc,preterm,0.0,43.7,10926,english
phonotactics_preference,-0.2440729772725242,-0.2437895011084446,-3.106541832008256,0.0062188052609835,0.0062186985500391,-0.3986345647513809,-0.0895113897936675,-0.398349762489841,-0.0892292397270483,0.0019764822570948,run1,cpc,preterm,562.5,606.2,151551,english
phonotactics_preference,-0.2396946675385773,-0.2394162765193687,-3.050815046954095,0.0062171709364555,0.0062170680196469,-0.3942359440106268,-0.0851533910665278,-0.3939562738758072,-0.0848762791629303,0.0023766945319136,run1,cpc,preterm,823.5,867.2,216801,english
phonotactics_preference,-0.1962456405679496,-0.1960177129946999,-2.4977992180301096,0.0062025558267298,0.0062024868393577,-0.3506051650276967,-0.0418861161082025,-0.3503763790270615,-0.0416590469623383,0.0127455125762961,run1,cpc,preterm,954.0,997.7,249426,english
phonotactics_preference,-0.1782751690791477,-0.1780681131336435,-2.2690724575147865,0.0061973626820294,0.0061973057507059,-0.3325700605691861,-0.0239802775891093,-0.3323622959163654,-0.0237739303509216,0.0235935213908305,run1,cpc,preterm,1476.0,1519.7,379927,english
phonotactics_preference,-0.1012306909926391,-0.1011131176000809,-1.2884563451717124,0.0061807466456781,0.0061807282890052,-0.2553186000592361,0.0528572180739577,-0.2552007978477664,0.0529745626476044,0.198048431732192,run1,cpc,sanity_check_filtered,0.0,0.0,0,english
phonotactics_preference,0.0888334367261463,0.0887302620028871,1.1306650590929548,0.0061789285335498,0.0061789143976814,-0.0652318076271587,0.2428986810794514,-0.0653348061186281,0.2427953301244025,0.2586180121583726,run1,cpc,sanity_check_original,223.9,223.9,55976,english
phonotactics_preference,-0.1823643004445215,-0.1821524952175244,-2.321118602831918,0.0061985005695035,0.0061984409965385,-0.3366733561988648,-0.0280552446901782,-0.3364608094481747,-0.027844180986874,0.0205915589664951,run1,cpc,sanity_check_original,913.5,913.5,228375,english
phonotactics_preference,-0.0426953837128607,-0.0426457955784671,-0.5434235162770589,0.0061742460615666,0.0061742427962041,-0.1967022406846891,0.1113114732589676,-0.1966526118256236,0.1113610206686893,0.5870257209591266,run1,cpc,sanity_check_original,1566.0,1566.0,391501,english
phonotactics_preference,-0.4121726371000579,-0.4116939232358302,-5.246101200833872,0.0063039246009058,0.0063036202827386,-0.5677884035350197,-0.2565568706650961,-0.5673059334967122,-0.2560819129749482,2.113113127740035e-07,run1,cpc,sanity_check_original,1044.0,1044.0,261000,english
phonotactics_preference,0.0259161347505451,0.0258860347101844,0.329858543236586,0.0061733577515743,0.0061733565484514,-0.1280796430749715,0.1799119125760617,-0.1281097281092467,0.1798817975296155,0.741613796247599,run1,cpc,sanity_check_original,783.0,783.0,195750,english
phonotactics_preference,-0.1345687932761555,-0.1344124996718858,-1.7127811127098842,0.0061868123149103,0.0061867798765957,-0.2887322932983441,0.0195947067460331,-0.2885755955432438,0.0197505961994721,0.0872328883554916,run1,cpc,sanity_check_original,652.5,652.5,163125,english
phonotactics_preference,-0.3289583339520289,-0.3285762685235132,-4.1869560359755535,0.0062563376431145,0.0062561437995654,-0.483985632917028,-0.1739310349870299,-0.4836011658218878,-0.1735513712251386,3.22103381064382e-05,run1,cpc,sanity_check_original,43.7,43.7,10926,english
phonotactics_preference,0.2068976475995146,0.2066573483572387,2.6333771333249056,0.0062058693183504,0.0062057926386034,0.0524968981419667,0.3612983970570624,0.0522575527907878,0.3610571439236896,0.0086566114561772,run1,cpc,sanity_check_original,0.0,0.0,0,english
phonotactics_preference,0.469629779548989,0.4690843326505581,5.977411231792204,0.0063430186187031,0.0063426235425449,0.3135322304886526,0.6257273286093255,0.3129916449491433,0.625177020351973,3.755044402623039e-09,run1,cpc,full_term,0.0,223.9,55976,english
phonotactics_preference,-0.3425383965093553,-0.3421405586504594,-4.359802013793568,0.0062633738835518,0.0062631637051494,-0.4976528473264068,-0.1874239456923038,-0.4972524068781094,-0.1870287104228094,1.5179141268550468e-05,run1,cpc,full_term,652.5,876.4,219101,english
phonotactics_preference,-0.3157757346241568,-0.3154089799962542,-4.019168939164291,0.0062497795637171,0.0062496009449554,-0.470721760169942,-0.1608297090783716,-0.4703527913467483,-0.1604651686457601,6.534802855454088e-05,run1,cpc,full_term,1044.0,1267.9,316976,english
phonotactics_preference,-0.3409344397127072,-0.3405384647536913,-4.339386976696047,0.006262528003227,0.0062623197885623,-0.4960384159281492,-0.1858304634972652,-0.4956398625223129,-0.1854370669850696,1.6604108984031566e-05,run1,cpc,full_term,783.0,1006.9,251726,english
phonotactics_preference,-0.1833188295417724,-0.1831059156863232,-2.3332677747870263,0.0061987699022103,0.0061987097039809,-0.337631237721734,-0.0290064213618109,-0.337417574575987,-0.0287942567966595,0.0199400573607122,run1,cpc,full_term,913.5,1137.4,284351,english
phonotactics_preference,-0.3340056315799275,-0.3336177040171169,-4.251197646803924,0.0062589195693881,0.006258719731816,-0.489064916332055,-0.1789463468277999,-0.4886745133485271,-0.1785608946857067,2.44638094749416e-05,run1,cpc,full_term,1566.0,1789.9,447477,english
phonotactics_preference,-0.1269280686732728,-0.1267806493136058,-1.6155305654720935,0.0061852706285625,0.0061852417693212,-0.281072359564866,0.0272162222183203,-0.2809245806014933,0.0273632819742816,0.1066845094969669,run1,apc,preterm,693.0,736.7,184176,english
phonotactics_preference,-0.4649648603764421,-0.4644248315026019,-5.918036504141493,0.0063396545689698,0.0063392673025588,-0.6210210104126483,-0.3089087103402358,-0.6204762150150605,-0.3083734479901434,5.293528430989069e-09,run1,apc,preterm,0.0,43.7,10926,english
phonotactics_preference,-0.0821445556205436,-0.0820491496325987,-1.0455295017031545,0.0061780460864337,0.006178033999194,-0.2361987981242333,0.071909686883146,-0.2361032414339917,0.0720049421687942,0.2961694749614638,run1,apc,preterm,562.5,606.2,151551,english
phonotactics_preference,-0.1203014703172475,-0.1201617473552066,-1.5311877380646826,0.0061840065152472,0.0061839805906847,-0.274430008801289,0.0338270681667938,-0.2742899627704487,0.0339664680600354,0.1262135977721238,run1,apc,preterm,823.5,867.2,216801,english
phonotactics_preference,-0.1752140429866189,-0.1750105423559725,-2.230110683189091,0.0061965277475769,0.00619647275458,-0.3294985405021028,-0.0209295454711351,-0.3292943552472551,-0.0207267294646898,0.0260850773902576,run1,apc,preterm,954.0,997.7,249426,english
phonotactics_preference,-0.17797482843621,-0.1777681213183979,-2.2652497452196174,0.0061972801231148,0.0061972233834545,-0.3322686921938205,-0.0236809646785995,-0.3320612787499033,-0.0234749638868925,0.0238282885715901,run1,apc,preterm,1476.0,1519.7,379927,english
phonotactics_preference,0.279278067643924,0.2789537028731413,3.554629478418492,0.0062330217894034,0.0062328820743415,0.1245399129034635,0.4340162223843846,0.1242172823935864,0.4336901233526962,0.0004061477143326,run1,apc,sanity_check_filtered,0.0,0.0,0,english
phonotactics_preference,-0.1382400581857402,-0.1380795006268717,-1.7595086863456766,0.0061875851185858,0.0061875508861831,-0.2924131863001659,0.0159330699286854,-0.292252202264425,0.0160932010106815,0.0789669585021958,run1,apc,sanity_check_original,223.9,223.9,55976,english
phonotactics_preference,-0.2018690076056099,-0.201634548827903,-2.5693729954078592,0.0062042832532651,0.006204210255618,-0.3562500253161444,-0.0474879898950753,-0.3560146583364956,-0.0472544393193105,0.0104132790412991,run1,apc,sanity_check_original,913.5,913.5,228375,english
phonotactics_preference,-0.2682139727846173,-0.267902458298224,-3.4138065413697656,0.0062283477895037,0.0062282189252794,-0.422894099350185,-0.1135338462190494,-0.422580984693225,-0.113223931903223,0.0006809713179861,run1,apc,sanity_check_original,1566.0,1566.0,391501,english
phonotactics_preference,-0.1319056245622516,-0.131752424069148,-1.6788845088830693,0.0061862647328635,0.0061862335657778,-0.2860623020861516,0.0222510529616482,-0.2859087132633661,0.02240386512507,0.0936587207859089,run1,apc,sanity_check_original,1044.0,1044.0,261000,english
