type,d,g,t,se_d,se_g,ci_lb_d,ci_ub_d,ci_lb_g,ci_ub_g,p_value,run,model_type,simulation,current_seen_hours,overall_seen_hours,batch_num,language
native,1.4822128125951144,1.482183095876737,,0.0046298398843644,0.004629839879427,1.473138493167573,1.4912871320226555,1.4731087764588726,1.4912574152946014,0.0,run1,cpc,preterm,693.0,736.7,184176,english
native,1.2373973983766413,1.2373725149940704,,0.0046297865859461,0.0046297865831319,1.2283231834120802,1.2464716133412024,1.228298300035025,1.246446729953116,0.0,run1,cpc,preterm,0.0,43.7,10926,english
native,1.4906755915790983,1.4906457053411375,,0.0046298409769494,0.0046298409719684,1.4816012700101295,1.4997499131480672,1.481571383781931,1.4997200269003437,0.0,run1,cpc,preterm,562.5,606.2,151551,english
native,1.491173670856964,1.4911437844139432,,0.0046298420070882,0.004629842002067,1.4820993472689603,1.5002479944449676,1.482069460835781,1.5002181079921055,0.0,run1,cpc,preterm,823.5,867.2,216801,english
native,1.43905053994592,1.4390216887684724,,0.0046298309247716,0.0046298309201926,1.4299762380788577,1.4481248418129822,1.4299473869103847,1.44809599062656,0.0,run1,cpc,preterm,954.0,997.7,249426,english
native,1.351308902348438,1.3512817971712698,,0.004629813087168,0.004629813083301,1.3422346354424362,1.3603831692544397,1.3422075302728471,1.3603560640696923,0.0,run1,cpc,preterm,1476.0,1519.7,379927,english
native,1.25882213280231,1.258796789126798,,0.0046297863778739,0.0046297863750635,1.2497479182455629,1.267896347359057,1.2497225745755591,1.2678710036780367,0.0,run1,cpc,sanity_check_filtered,0.0,0.0,0,english
native,1.633477992628965,1.6334452331402514,,0.0046298595576475,0.0046298595519216,1.6244036346424973,1.642552350615433,1.624370875165006,1.6425195911154966,0.0,run1,cpc,sanity_check_original,223.9,223.9,55976,english
native,1.4467567060291262,1.4467277052214316,,0.0046298320301297,0.004629832025507,1.437682401995602,1.4558310100626504,1.4376534011969675,1.4558020092458954,0.0,run1,cpc,sanity_check_original,913.5,913.5,228375,english
native,1.3943296794823237,1.3943017152084118,,0.0046298219505843,0.0046298219463632,1.3852553952043454,1.403403963760302,1.3852274309387067,1.403375999478117,0.0,run1,cpc,sanity_check_original,1566.0,1566.0,391501,english
native,1.414371955578824,1.4143435957573411,,0.004629825747736,0.0046298257433637,1.405297663858565,1.4234462472990828,1.405269304045652,1.4234178874690304,0.0,run1,cpc,sanity_check_original,1044.0,1044.0,261000,english
native,1.5095162149865098,1.5094859634153923,,0.0046298446342632,0.0046298446291372,1.5004418862493378,1.5185905437236815,1.500411634688267,1.5185602921425176,0.0,run1,cpc,sanity_check_original,783.0,783.0,195750,english
native,1.5721930141158966,1.572161505963987,,0.0046298531931538,0.0046298531876854,1.5631186686036074,1.581267359628186,1.5630871604624157,1.5812358514655585,0.0,run1,cpc,sanity_check_original,652.5,652.5,163125,english
native,1.7413273965721776,1.7412924624049864,,0.004629870712867,0.0046298707066924,1.7322530167218813,1.750401776422474,1.732218082566792,1.7503668422431806,0.0,run1,cpc,sanity_check_original,43.7,43.7,10926,english
native,1.7780024571545767,1.7779668081643007,,0.0046298786964011,0.00462987868991,1.7689280616568412,1.7870768526523122,1.7688924126792875,1.787041203649314,0.0,run1,cpc,sanity_check_original,0.0,0.0,0,english
native,1.5532367369835565,1.553205555185897,,0.0046298405616987,0.0046298405567288,1.5441624162284642,1.5623110577386488,1.5441312344405456,1.5622798759312484,0.0,run1,cpc,full_term,0.0,223.9,55976,english
native,1.3980457839222629,1.3980177597927652,,0.0046298272759323,0.0046298272715,1.388971489206794,1.4071200786377316,1.3889434650859838,1.4070920544995469,0.0,run1,cpc,full_term,652.5,876.4,219101,english
native,1.377292461697954,1.37726484636488,,0.0046298214742643,0.0046298214700632,1.3682181783535456,1.3863667450423625,1.3681905630287057,1.3863391297010543,0.0,run1,cpc,full_term,1044.0,1267.9,316976,english
native,1.423505168956347,1.423476634846056,,0.0046298308179277,0.0046298308133537,1.414430867298695,1.432579470613999,1.4144023331973687,1.432550936494743,0.0,run1,cpc,full_term,783.0,1006.9,251726,english
native,1.384288096264432,1.3842603433526677,,0.0046298236928942,0.0046298236886047,1.3752138085715888,1.393362383957275,1.375186055668232,1.3933346310371033,0.0,run1,cpc,full_term,913.5,1137.4,284351,english
native,1.456573537516079,1.4565443184983444,,0.0046298321727898,0.0046298321681591,1.4474992332029464,1.4656478418292125,1.4474700141942876,1.4656186228024013,0.0,run1,cpc,full_term,1566.0,1789.9,447477,english
native,1.2123506577814367,1.2123263558677295,,0.0046297950764516,0.004629795073307,1.203276426175791,1.2214248893870827,1.203252124268247,1.2214005874672125,0.0,run1,apc,preterm,693.0,736.7,184176,english
native,0.0375758879202352,0.0375751264152855,,0.0046297165619072,0.0046297165619034,0.0285018102002683,0.046649965640202,0.0285010486953261,0.0466492041352449,4.808517214511793e-16,run1,apc,preterm,0.0,43.7,10926,english
native,1.1723854406657048,1.172361931940598,,0.0046297878050384,0.0046297878021838,1.1633112233117668,1.1814596580196428,1.1632877145922549,1.1814361492889411,0.0,run1,apc,preterm,562.5,606.2,151551,english
native,1.1088948114803958,1.10887258287269,,0.0046297805711302,0.0046297805685657,1.099820608304657,1.1179690146561343,1.0997983797019777,1.1179467860434025,0.0,run1,apc,preterm,823.5,867.2,216801,english
native,1.177010930084336,1.17698733325043,,0.0046297892747029,0.00462978927179,1.1679367098499085,1.1860851503187635,1.1679131130217115,1.1860615534791483,0.0,run1,apc,preterm,954.0,997.7,249426,english
native,1.1844908615511895,1.1844671153795383,,0.0046297892364698,0.0046297892335584,1.175416641391697,1.1935650817106818,1.1753928952257526,1.1935413355333244,0.0,run1,apc,preterm,1476.0,1519.7,379927,english
native,2.016459440412046,2.016418935769525,,0.0046299238688036,0.0046299238604933,2.007384956378029,2.0255339244460635,2.0073444517517958,2.0254934197872543,0.0,run1,apc,sanity_check_filtered,0.0,0.0,0,english
native,1.2109721799158422,1.2109479075391494,,0.0046297945398774,0.0046297945367543,1.2018979493618622,1.220046410469822,1.2018736769912906,1.2200221380870082,0.0,run1,apc,sanity_check_original,223.9,223.9,55976,english
native,1.2315457919217578,1.2315211051919106,,0.004629794371748,0.0046297943686313,1.2224715616973054,1.2406200221462105,1.2224468749735666,1.2405953354102546,0.0,run1,apc,sanity_check_original,913.5,913.5,228375,english
native,1.1611076404145082,1.1610843661027683,,0.0046297863581202,0.0046297863553243,1.1520334258964775,1.170181854932539,1.1520101515902177,1.170158580615319,0.0,run1,apc,sanity_check_original,1566.0,1566.0,391501,english
native,1.181074579824392,1.1810509049188185,,0.0046297891947928,0.0046297891918833,1.1720003597465851,1.190148799902199,1.171976684846714,1.1901251249909228,0.0,run1,apc,sanity_check_original,1044.0,1044.0,261000,english
